,year,name,value,lastValue,rank
27,1990.3,What is KPI?,156.0,83.0,28
28,1990.3,Money,155.0,64.0,29
29,1990.3,We MUST meet up more,153.0,106.0,30
30,1990.3,Cartoons,153.0,132.0,31
31,1990.3,Rap,150.0,65.0,32
32,1990.3,Oversized t-shirts,150.0,57.0,33
33,1990.3,Women (interested),144.0,135.0,34
34,1990.3,I know pretty much everything,144.0,138.0,35
35,1990.3,Everyone is racist?,142.0,107.0,36
36,1990.3,Teeth are the worst,140.0,69.0,37
37,1990.3,Travel,138.0,76.0,38
38,1990.3,Not learning languages,135.0,83.0,39
39,1990.3,When will I grow up?,129.0,121.0,40
40,1990.3,Harry Potter,112.0,14.0,41
41,1990.3,Jupyter,108.0,90.0,42
42,1990.3,Chewing,107.0,88.0,43
43,1990.3,RUNNING,80.0,45.0,44
44,1990.3,Who the f**k is this?,69.0,69.0,45
45,1990.3,Bored. I might make noise,50.0,34.0,46
0,1990.4,What colour is that?,55930.0,8410.0,1
1,1990.4,Have I pooped myself?,29534.0,24600.0,2
2,1990.4,What is that smell?,27119.0,23384.0,3
3,1990.4,Loud noises,23870.0,9224.0,4
4,1990.4,Food/drink,20999.0,10628.0,5
5,1990.4,Need a nap,18195.0,10412.0,6
6,1990.4,I'm going to be sick,16548.0,13528.0,7
7,1990.4,Bugs,15278.0,11032.0,8
8,1990.4,"No, don't carry me there",13646.0,11564.0,9
9,1990.4,Who the frick is this?,8520.0,4112.0,10
10,1990.4,My toy,6071.0,2036.0,11
11,1990.4,Eugh these clothes,5288.0,1597.0,12
12,1990.4,Exams,330.0,232.0,13
13,1990.4,I don't know anything,294.0,205.0,14
14,1990.4,Women (fearful),272.0,207.0,15
15,1990.4,Getting swole,268.0,172.0,16
16,1990.4,The dark?,258.0,206.0,17
17,1990.4,Walking,249.0,181.0,18
18,1990.4,Trampolines,246.0,160.0,19
19,1990.4,Why does my skin hate me?,240.0,207.0,20
20,1990.4,Games,226.0,215.0,21
21,1990.4,"Oh no, THIS is grown up",223.0,174.0,22
22,1990.4,Tying my shoes,220.0,170.0,23
23,1990.4,Am I good?,217.0,217.0,24
24,1990.4,Using chopsticks,216.0,181.0,25
25,1990.4,Women (interested),214.0,144.0,26
26,1990.4,Money,213.0,155.0,27
27,1990.4,Brexit,207.0,165.0,28
28,1990.4,What is KPI?,204.0,156.0,29
29,1990.4,Hreflang,198.0,187.0,30
30,1990.4,Rap,198.0,150.0,31
31,1990.4,Chewing,194.0,107.0,32
32,1990.4,Harry Potter,190.0,112.0,33
33,1990.4,Oversized t-shirts,186.0,150.0,34
34,1990.4,Cartoons,184.0,153.0,35
35,1990.4,Travel,181.0,138.0,36
36,1990.4,We MUST meet up more,180.0,153.0,37
37,1990.4,Not learning languages,179.0,135.0,38
38,1990.4,When will I grow up?,169.0,129.0,39
39,1990.4,Who the f**k is this?,162.0,69.0,40
40,1990.4,RUNNING,160.0,80.0,41
41,1990.4,Everyone is racist?,160.0,142.0,42
42,1990.4,I know pretty much everything,155.0,144.0,43
43,1990.4,Teeth are the worst,154.0,140.0,44
44,1990.4,Jupyter,128.0,108.0,45
45,1990.4,Bored. I might make noise,123.0,50.0,46
0,1990.5,Need a nap,147630.0,18195.0,1
1,1990.5,Food/drink,121518.0,20999.0,2
2,1990.5,What is that smell?,115824.0,27119.0,3
3,1990.5,I'm going to be sick,82044.0,16548.0,4
4,1990.5,What colour is that?,64590.0,55930.0,5
5,1990.5,Have I pooped myself?,52494.0,29534.0,6
6,1990.5,"No, don't carry me there",40620.0,13646.0,7
7,1990.5,Bugs,40512.0,15278.0,8
8,1990.5,Loud noises,32784.0,23870.0,9
9,1990.5,Who the frick is this?,14130.0,8520.0,10
10,1990.5,My toy,9685.0,6071.0,11
11,1990.5,Eugh these clothes,7435.0,5288.0,12
12,1990.5,Exams,388.0,330.0,13
13,1990.5,Walking,344.0,249.0,14
14,1990.5,Trampolines,342.0,246.0,15
15,1990.5,The dark?,334.0,258.0,16
16,1990.5,Women (fearful),329.0,272.0,17
17,1990.5,Women (interested),314.0,214.0,18
18,1990.5,I don't know anything,311.0,294.0,19
19,1990.5,Getting swole,293.0,268.0,20
20,1990.5,What is KPI?,291.0,204.0,21
21,1990.5,Why does my skin hate me?,288.0,240.0,22
22,1990.5,"Oh no, THIS is grown up",288.0,223.0,23
23,1990.5,Games,282.0,226.0,24
24,1990.5,Harry Potter,282.0,190.0,25
25,1990.5,Oversized t-shirts,276.0,186.0,26
26,1990.5,Money,262.0,213.0,27
27,1990.5,Tying my shoes,261.0,220.0,28
28,1990.5,Travel,260.0,181.0,29
29,1990.5,Who the f**k is this?,257.0,162.0,30
30,1990.5,Brexit,257.0,207.0,31
31,1990.5,Using chopsticks,256.0,216.0,32
32,1990.5,When will I grow up?,249.0,169.0,33
33,1990.5,Not learning languages,240.0,179.0,34
34,1990.5,RUNNING,233.0,160.0,35
35,1990.5,We MUST meet up more,229.0,180.0,36
36,1990.5,Am I good?,228.0,217.0,37
37,1990.5,Cartoons,227.0,184.0,38
38,1990.5,Rap,215.0,198.0,39
39,1990.5,Teeth are the worst,208.0,154.0,40
40,1990.5,Jupyter,206.0,128.0,41
41,1990.5,Chewing,199.0,194.0,42
42,1990.5,Hreflang,198.0,198.0,43
43,1990.5,Everyone is racist?,187.0,160.0,44
44,1990.5,I know pretty much everything,166.0,155.0,45
45,1990.5,Bored. I might make noise,135.0,123.0,46
0,1990.6,Need a nap,158786.0,147630.0,1
1,1990.6,Food/drink,136803.0,121518.0,2
2,1990.6,What is that smell?,125657.0,115824.0,3
3,1990.6,I'm going to be sick,90454.0,82044.0,4
4,1990.6,What colour is that?,74097.0,64590.0,5
5,1990.6,"No, don't carry me there",65695.0,40620.0,6
6,1990.6,Bugs,63609.0,40512.0,7
7,1990.6,Have I pooped myself?,59327.0,52494.0,8
8,1990.6,Loud noises,25655.0,32784.0,9
9,1990.6,Who the frick is this?,20125.0,14130.0,10
10,1990.6,My toy,14962.0,9685.0,11
11,1990.6,Eugh these clothes,12690.0,7435.0,12
12,1990.6,Walking,433.0,344.0,13
13,1990.6,Exams,428.0,388.0,14
14,1990.6,Trampolines,396.0,342.0,15
15,1990.6,I don't know anything,385.0,311.0,16
16,1990.6,Why does my skin hate me?,380.0,288.0,17
17,1990.6,Women (fearful),371.0,329.0,18
18,1990.6,What is KPI?,363.0,291.0,19
19,1990.6,Travel,352.0,260.0,20
20,1990.6,Brexit,351.0,257.0,21
21,1990.6,The dark?,345.0,334.0,22
22,1990.6,Women (interested),340.0,314.0,23
23,1990.6,Tying my shoes,327.0,261.0,24
24,1990.6,Harry Potter,323.0,282.0,25
25,1990.6,Money,318.0,262.0,26
26,1990.6,Oversized t-shirts,316.0,276.0,27
27,1990.6,We MUST meet up more,312.0,229.0,28
28,1990.6,"Oh no, THIS is grown up",311.0,288.0,29
29,1990.6,Using chopsticks,306.0,256.0,30
30,1990.6,When will I grow up?,306.0,249.0,31
31,1990.6,Getting swole,305.0,293.0,32
32,1990.6,Games,292.0,282.0,33
33,1990.6,Who the f**k is this?,285.0,257.0,34
34,1990.6,Not learning languages,285.0,240.0,35
35,1990.6,RUNNING,283.0,233.0,36
36,1990.6,Am I good?,276.0,228.0,37
37,1990.6,Cartoons,274.0,227.0,38
38,1990.6,Teeth are the worst,270.0,208.0,39
39,1990.6,Rap,249.0,215.0,40
40,1990.6,Hreflang,247.0,198.0,41
41,1990.6,Chewing,245.0,199.0,42
42,1990.6,Everyone is racist?,234.0,187.0,43
43,1990.6,Jupyter,217.0,206.0,44
44,1990.6,Bored. I might make noise,203.0,135.0,45
45,1990.6,I know pretty much everything,200.0,166.0,46
0,1990.7,Need a nap,172604.0,158786.0,1
1,1990.7,Food/drink,154888.0,136803.0,2
2,1990.7,What colour is that?,142144.0,74097.0,3
3,1990.7,What is that smell?,138719.0,125657.0,4
4,1990.7,Have I pooped myself?,106456.0,59327.0,5
5,1990.7,I'm going to be sick,98493.0,90454.0,6
6,1990.7,"No, don't carry me there",92176.0,65695.0,7
7,1990.7,Bugs,87160.0,63609.0,8
8,1990.7,Loud noises,53144.0,25655.0,9
9,1990.7,Who the frick is this?,32144.0,20125.0,10
10,1990.7,My toy,25410.0,14962.0,11
11,1990.7,Eugh these clothes,18155.0,12690.0,12
12,1990.7,Exams,512.0,428.0,13
13,1990.7,I don't know anything,485.0,385.0,14
14,1990.7,Walking,457.0,433.0,15
15,1990.7,What is KPI?,440.0,363.0,16
16,1990.7,Women (fearful),433.0,371.0,17
17,1990.7,Travel,431.0,352.0,18
18,1990.7,Brexit,428.0,351.0,19
19,1990.7,Tying my shoes,417.0,327.0,20
20,1990.7,Why does my skin hate me?,408.0,380.0,21
21,1990.7,Trampolines,396.0,396.0,22
22,1990.7,Who the f**k is this?,384.0,285.0,23
23,1990.7,Harry Potter,381.0,323.0,24
24,1990.7,We MUST meet up more,379.0,312.0,25
25,1990.7,Women (interested),371.0,340.0,26
26,1990.7,Using chopsticks,362.0,306.0,27
27,1990.7,Oversized t-shirts,352.0,316.0,28
28,1990.7,The dark?,349.0,345.0,29
29,1990.7,Getting swole,342.0,305.0,30
30,1990.7,Money,339.0,318.0,31
31,1990.7,Cartoons,332.0,274.0,32
32,1990.7,Games,330.0,292.0,33
33,1990.7,Am I good?,319.0,276.0,34
34,1990.7,When will I grow up?,317.0,306.0,35
35,1990.7,Not learning languages,312.0,285.0,36
36,1990.7,"Oh no, THIS is grown up",311.0,311.0,37
37,1990.7,Chewing,304.0,245.0,38
38,1990.7,Jupyter,295.0,217.0,39
39,1990.7,RUNNING,289.0,283.0,40
40,1990.7,Teeth are the worst,287.0,270.0,41
41,1990.7,Bored. I might make noise,273.0,203.0,42
42,1990.7,I know pretty much everything,267.0,200.0,43
43,1990.7,Rap,263.0,249.0,44
44,1990.7,Everyone is racist?,255.0,234.0,45
45,1990.7,Hreflang,254.0,247.0,46
0,1990.8,Need a nap,190632.0,172604.0,1
1,1990.8,Food/drink,169736.0,154888.0,2
2,1990.8,Have I pooped myself?,163233.0,106456.0,3
3,1990.8,What colour is that?,154058.0,142144.0,4
4,1990.8,What is that smell?,153663.0,138719.0,5
5,1990.8,I'm going to be sick,150849.0,98493.0,6
6,1990.8,"No, don't carry me there",126936.0,92176.0,7
7,1990.8,Bugs,72891.0,87160.0,8
8,1990.8,Loud noises,72450.0,53144.0,9
9,1990.8,Who the frick is this?,38808.0,32144.0,10
10,1990.8,My toy,30331.0,25410.0,11
11,1990.8,Eugh these clothes,21641.0,18155.0,12
12,1990.8,Walking,543.0,457.0,13
13,1990.8,I don't know anything,523.0,485.0,14
14,1990.8,Exams,520.0,512.0,15
15,1990.8,Travel,514.0,431.0,16
16,1990.8,What is KPI?,507.0,440.0,17
17,1990.8,Women (fearful),490.0,433.0,18
18,1990.8,Brexit,485.0,428.0,19
19,1990.8,Harry Potter,470.0,381.0,20
20,1990.8,Why does my skin hate me?,461.0,408.0,21
21,1990.8,Tying my shoes,455.0,417.0,22
22,1990.8,Trampolines,430.0,396.0,23
23,1990.8,Oversized t-shirts,421.0,352.0,24
24,1990.8,Games,418.0,330.0,25
25,1990.8,We MUST meet up more,404.0,379.0,26
26,1990.8,Not learning languages,400.0,312.0,27
27,1990.8,The dark?,399.0,349.0,28
28,1990.8,Getting swole,397.0,342.0,29
29,1990.8,Who the f**k is this?,394.0,384.0,30
30,1990.8,When will I grow up?,383.0,317.0,31
31,1990.8,Chewing,379.0,304.0,32
32,1990.8,Using chopsticks,375.0,362.0,33
33,1990.8,Women (interested),374.0,371.0,34
34,1990.8,RUNNING,370.0,289.0,35
35,1990.8,Everyone is racist?,355.0,255.0,36
36,1990.8,Money,351.0,339.0,37
37,1990.8,"Oh no, THIS is grown up",350.0,311.0,38
38,1990.8,Hreflang,350.0,254.0,39
39,1990.8,Cartoons,339.0,332.0,40
40,1990.8,Am I good?,325.0,319.0,41
41,1990.8,Teeth are the worst,324.0,287.0,42
42,1990.8,Jupyter,322.0,295.0,43
43,1990.8,Bored. I might make noise,313.0,273.0,44
44,1990.8,I know pretty much everything,290.0,267.0,45
45,1990.8,Rap,270.0,263.0,46
0,1990.9,Need a nap,210460.0,190632.0,1
1,1990.9,Food/drink,190745.0,169736.0,2
2,1990.9,Have I pooped myself?,182858.0,163233.0,3
3,1990.9,"No, don't carry me there",175790.0,126936.0,4
4,1990.9,What is that smell?,170238.0,153663.0,5
5,1990.9,What colour is that?,170042.0,154058.0,6
6,1990.9,I'm going to be sick,163856.0,150849.0,7
7,1990.9,Bugs,145800.0,72891.0,8
8,1990.9,Loud noises,68850.0,72450.0,9
9,1990.9,Who the frick is this?,57420.0,38808.0,10
10,1990.9,My toy,45511.0,30331.0,11
11,1990.9,Eugh these clothes,39322.0,21641.0,12
12,1990.9,Walking,619.0,543.0,13
13,1990.9,I don't know anything,588.0,523.0,14
14,1990.9,Women (fearful),582.0,490.0,15
15,1990.9,What is KPI?,563.0,507.0,16
16,1990.9,Tying my shoes,540.0,455.0,17
17,1990.9,Exams,537.0,520.0,18
18,1990.9,Why does my skin hate me?,535.0,461.0,19
19,1990.9,Travel,519.0,514.0,20
20,1990.9,Trampolines,512.0,430.0,21
21,1990.9,Brexit,505.0,485.0,22
22,1990.9,Harry Potter,489.0,470.0,23
23,1990.9,Not learning languages,484.0,400.0,24
24,1990.9,Getting swole,477.0,397.0,25
25,1990.9,Oversized t-shirts,460.0,421.0,26
26,1990.9,When will I grow up?,452.0,383.0,27
27,1990.9,The dark?,450.0,399.0,28
28,1990.9,Chewing,441.0,379.0,29
29,1990.9,Games,441.0,418.0,30
30,1990.9,Money,436.0,351.0,31
31,1990.9,Using chopsticks,430.0,375.0,32
32,1990.9,"Oh no, THIS is grown up",423.0,350.0,33
33,1990.9,Teeth are the worst,423.0,324.0,34
34,1990.9,We MUST meet up more,413.0,404.0,35
35,1990.9,Who the f**k is this?,399.0,394.0,36
36,1990.9,Am I good?,393.0,325.0,37
37,1990.9,RUNNING,390.0,370.0,38
38,1990.9,Jupyter,390.0,322.0,39
39,1990.9,Cartoons,389.0,339.0,40
40,1990.9,Bored. I might make noise,382.0,313.0,41
41,1990.9,Women (interested),374.0,374.0,42
42,1990.9,Hreflang,364.0,350.0,43
43,1990.9,Everyone is racist?,364.0,355.0,44
44,1990.9,I know pretty much everything,358.0,290.0,45
45,1990.9,Rap,291.0,270.0,46
0,1991.0,Need a nap,221196.0,210460.0,1
1,1991.0,What is that smell?,176253.0,170238.0,2
2,1991.0,I'm going to be sick,166268.0,163856.0,3
3,1991.0,Bugs,147620.0,145800.0,4
4,1991.0,Loud noises,70125.0,68850.0,5
5,1991.0,My toy,45572.0,45511.0,6
6,1991.0,Eugh these clothes,39356.0,39322.0,7
7,1991.0,Walking,695.0,619.0,8
8,1991.0,What is KPI?,663.0,563.0,9
9,1991.0,I don't know anything,634.0,588.0,10
10,1991.0,Women (fearful),592.0,582.0,11
11,1991.0,Brexit,579.0,505.0,12
12,1991.0,Tying my shoes,578.0,540.0,13
13,1991.0,Exams,572.0,537.0,14
14,1991.0,Why does my skin hate me?,547.0,535.0,15
15,1991.0,Trampolines,541.0,512.0,16
16,1991.0,Getting swole,540.0,477.0,17
17,1991.0,Not learning languages,528.0,484.0,18
18,1991.0,Travel,526.0,519.0,19
19,1991.0,Chewing,523.0,441.0,20
20,1991.0,Teeth are the worst,520.0,423.0,21
21,1991.0,Oversized t-shirts,513.0,460.0,22
22,1991.0,Harry Potter,506.0,489.0,23
23,1991.0,Money,505.0,436.0,24
24,1991.0,"Oh no, THIS is grown up",505.0,423.0,25
25,1991.0,Am I good?,481.0,393.0,26
26,1991.0,We MUST meet up more,468.0,413.0,27
27,1991.0,The dark?,463.0,450.0,28
28,1991.0,Using chopsticks,462.0,430.0,29
29,1991.0,RUNNING,457.0,390.0,30
30,1991.0,When will I grow up?,457.0,452.0,31
31,1991.0,Who the f**k is this?,452.0,399.0,32
32,1991.0,Games,452.0,441.0,33
33,1991.0,Hreflang,402.0,364.0,34
34,1991.0,Cartoons,401.0,389.0,35
35,1991.0,Jupyter,400.0,390.0,36
36,1991.0,Women (interested),398.0,374.0,37
37,1991.0,Bored. I might make noise,396.0,382.0,38
38,1991.0,Everyone is racist?,385.0,364.0,39
39,1991.0,I know pretty much everything,365.0,358.0,40
40,1991.0,Rap,349.0,291.0,41
41,1991.0,What colour is that?,0.0,170042.0,42
42,1991.0,Have I pooped myself?,0.0,182858.0,43
43,1991.0,Who the frick is this?,0.0,57420.0,44
44,1991.0,Food/drink,0.0,190745.0,45
45,1991.0,"No, don't carry me there",0.0,175790.0,46
0,1991.1,Need a nap,229904.0,221196.0,1
1,1991.1,What is that smell?,182084.0,176253.0,2
2,1991.1,I'm going to be sick,169785.0,166268.0,3
3,1991.1,Bugs,149616.0,147620.0,4
4,1991.1,Loud noises,71384.0,70125.0,5
5,1991.1,My toy,45645.0,45572.0,6
6,1991.1,Eugh these clothes,39422.0,39356.0,7
7,1991.1,Walking,749.0,695.0,8
8,1991.1,What is KPI?,691.0,663.0,9
9,1991.1,I don't know anything,683.0,634.0,10
10,1991.1,Women (fearful),632.0,592.0,11
11,1991.1,Trampolines,621.0,541.0,12
12,1991.1,Brexit,614.0,579.0,13
13,1991.1,Tying my shoes,612.0,578.0,14
14,1991.1,Exams,601.0,572.0,15
15,1991.1,Why does my skin hate me?,584.0,547.0,16
16,1991.1,Teeth are the worst,576.0,520.0,17
17,1991.1,Getting swole,576.0,540.0,18
18,1991.1,Travel,574.0,526.0,19
19,1991.1,Am I good?,574.0,481.0,20
20,1991.1,"Oh no, THIS is grown up",571.0,505.0,21
21,1991.1,Not learning languages,570.0,528.0,22
22,1991.1,Oversized t-shirts,555.0,513.0,23
23,1991.1,We MUST meet up more,543.0,468.0,24
24,1991.1,Money,532.0,505.0,25
25,1991.1,RUNNING,530.0,457.0,26
26,1991.1,Chewing,528.0,523.0,27
27,1991.1,Harry Potter,518.0,506.0,28
28,1991.1,Games,509.0,452.0,29
29,1991.1,Bored. I might make noise,495.0,396.0,30
30,1991.1,Using chopsticks,489.0,462.0,31
31,1991.1,When will I grow up?,486.0,457.0,32
32,1991.1,Everyone is racist?,477.0,385.0,33
33,1991.1,The dark?,470.0,463.0,34
34,1991.1,Who the f**k is this?,467.0,452.0,35
35,1991.1,Cartoons,453.0,401.0,36
36,1991.1,I know pretty much everything,449.0,365.0,37
37,1991.1,Hreflang,444.0,402.0,38
38,1991.1,Jupyter,418.0,400.0,39
39,1991.1,Women (interested),414.0,398.0,40
40,1991.1,Rap,395.0,349.0,41
41,1991.1,What colour is that?,0.0,0.0,42
42,1991.1,Who the frick is this?,0.0,0.0,43
43,1991.1,Have I pooped myself?,0.0,0.0,44
44,1991.1,Food/drink,0.0,0.0,45
45,1991.1,"No, don't carry me there",0.0,0.0,46
0,1991.2,Need a nap,244938.0,229904.0,1
1,1991.2,What is that smell?,195765.0,182084.0,2
2,1991.2,I'm going to be sick,179917.0,169785.0,3
3,1991.2,Food/drink,121472.0,0.0,4
4,1991.2,Loud noises,76322.0,71384.0,5
5,1991.2,What colour is that?,72046.0,0.0,6
6,1991.2,Have I pooped myself?,55770.0,0.0,7
7,1991.2,My toy,48213.0,45645.0,8
8,1991.2,Eugh these clothes,41926.0,39422.0,9
9,1991.2,Bugs,37986.0,149616.0,10
10,1991.2,"No, don't carry me there",35360.0,0.0,11
11,1991.2,Who the frick is this?,16354.0,0.0,12
12,1991.2,Walking,815.0,749.0,13
13,1991.2,I don't know anything,720.0,683.0,14
14,1991.2,What is KPI?,702.0,691.0,15
15,1991.2,Exams,692.0,601.0,16
16,1991.2,Why does my skin hate me?,684.0,584.0,17
17,1991.2,Getting swole,674.0,576.0,18
18,1991.2,Brexit,671.0,614.0,19
